time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-08-08 04:40:00,56943.03,56890.88,56943.03,9.052,515038.53,56896.23,direct,
2024-08-08 04:41:00,56901.06,56862.97,56896.23,7.576,430930.17,56863.91,direct,
2024-08-08 04:42:00,56884.93,56855.96,56863.91,5.94,337787.68,56879.32,direct,
2024-08-08 04:43:00,56886.76,56857.97,56879.32,6.643,377734.38,56863.26,direct,
2024-08-08 04:44:00,56879.42,56863.15,56863.26,5.273,299873.81,56863.15,direct,
2024-08-08 04:45:00,56907.46,56825.83,56863.15,17.76,1009709.53,56898.37,direct,
2024-08-08 04:46:00,56938.63,56875.38,56898.37,12.75,725747.31,56937.32,direct,
2024-08-08 04:47:00,56949.47,56912.5,56937.32,7.931,451621.6,56918.58,direct,
2024-08-08 04:48:00,56940.37,56897.18,56918.58,7.882,448627.8,56934.69,direct,
2024-08-08 04:49:00,56934.69,56898.84,56934.69,4.636,263829.08,56900.56,direct,
2024-08-08 04:50:00,56922.51,56876.58,56900.56,9.755,555028.21,56912.45,direct,
2024-08-08 04:51:00,56919.62,56801.36,56912.45,23.02,1308453.81,56802.75,direct,
2024-08-08 04:52:00,56831.88,56799.56,56802.75,8.394,476923.49,56818.23,direct,
2024-08-08 04:53:00,56819.07,56794.56,56818.23,8.185,464844.16,56808.33,direct,
2024-08-08 04:54:00,56829.92,56803.69,56808.33,5.443,309255.84,56812.82,direct,
2024-08-08 04:55:00,56816.7,56761.47,56812.82,58.65,3330246.54,56773.49,direct,
2024-08-08 04:56:00,56773.83,56690.95,56773.49,53.2,3017475.73,56721.03,direct,
2024-08-08 04:57:00,56797.33,56720.61,56721.03,18.14,1029964.03,56797.33,direct,
2024-08-08 04:58:00,56800.05,56774.39,56797.33,8.738,496201.0,56782.18,direct,
2024-08-08 04:59:00,56793.91,56762.62,56782.18,6.435,365373.81,56780.5,direct,
2024-08-08 05:00:00,56847.72,56757.02,56780.5,50.05,2841318.89,56841.23,direct,
2024-08-08 05:01:00,56864.12,56837.88,56841.23,41.52,2360359.94,56861.07,direct,
2024-08-08 05:02:00,56902.87,56860.69,56861.07,5.741,326586.64,56895.43,direct,
2024-08-08 05:03:00,56926.94,56887.82,56895.43,18.49,1052027.51,56893.9,direct,
2024-08-08 05:04:00,56905.15,56876.29,56893.9,7.079,402707.41,56905.15,direct,
2024-08-08 05:05:00,56942.37,56905.15,56905.15,9.348,532200.38,56942.37,direct,
2024-08-08 05:06:00,56942.83,56925.34,56942.37,4.258,242407.45,56927.57,direct,
2024-08-08 05:07:00,56957.31,56927.21,56927.57,4.012,228501.78,56949.49,direct,
2024-08-08 05:08:00,56961.12,56945.29,56949.49,6.297,358628.73,56955.95,direct,
2024-08-08 05:09:00,56956.32,56904.1,56955.95,6.899,392752.09,56910.46,direct,
2024-08-08 05:10:00,56925.21,56905.16,56910.46,7.395,420841.55,56912.97,direct,
2024-08-08 05:11:00,56913.76,56830.28,56912.97,7.004,398224.37,56842.04,direct,
2024-08-08 05:12:00,56842.04,56803.43,56842.04,6.435,365606.77,56838.93,direct,
2024-08-08 05:13:00,56839.73,56758.81,56838.93,11.64,661113.32,56796.62,direct,
2024-08-08 05:14:00,56825.77,56796.62,56796.62,6.109,347213.51,56814.76,direct,
2024-08-08 05:15:00,56889.07,56814.53,56814.76,7.08,402524.36,56889.07,direct,
2024-08-08 05:16:00,56937.9,56885.61,56889.07,8.583,488547.17,56937.9,direct,
2024-08-08 05:17:00,56947.99,56923.8,56937.9,3.702,210770.79,56931.59,direct,
2024-08-08 05:18:00,56964.16,56923.97,56931.59,7.332,417528.38,56963.99,direct,
2024-08-08 05:19:00,56985.69,56956.98,56963.99,9.895,563679.54,56983.4,direct,
2024-08-08 05:20:00,56987.09,56950.37,56983.4,12.56,715511.43,56961.1,direct,
2024-08-08 05:21:00,56965.28,56908.23,56961.1,7.416,422287.23,56913.75,direct,
2024-08-08 05:22:00,56950.62,56901.56,56913.75,5.657,322021.22,56928.14,direct,
2024-08-08 05:23:00,56951.69,56926.71,56928.14,4.45,253332.36,56947.01,direct,
2024-08-08 05:24:00,56959.65,56940.52,56947.01,6.192,352643.61,56954.87,direct,
2024-08-08 05:25:00,56954.87,56934.28,56954.87,4.802,273474.56,56942.09,direct,
2024-08-08 05:26:00,56961.83,56935.01,56942.09,4.87,277319.86,56935.01,direct,
2024-08-08 05:27:00,56965.02,56933.82,56935.01,6.661,379366.49,56950.64,direct,
2024-08-08 05:28:00,56982.46,56949.82,56950.64,11.4,649454.66,56962.38,direct,
2024-08-08 05:29:00,56987.45,56957.32,56962.38,5.483,312405.05,56985.2,direct,
2024-08-08 05:30:00,57033.09,56983.38,56985.2,10.62,605324.03,57032.1,direct,
2024-08-08 05:31:00,57033.14,57000.6,57032.1,7.393,421525.49,57005.0,direct,
2024-08-08 05:32:00,57008.73,56946.78,57005.0,4.814,274265.82,56946.78,direct,
2024-08-08 05:33:00,56982.47,56944.52,56946.78,10.15,578281.79,56971.28,direct,
2024-08-08 05:34:00,56973.34,56893.29,56971.28,5.636,320819.29,56895.76,direct,
2024-08-08 05:35:00,56901.39,56840.14,56895.76,20.54,1168065.1,56889.73,direct,
2024-08-08 05:36:00,56911.32,56883.82,56889.73,5.513,313702.68,56906.93,direct,
